NOM;RUE;ADRESSE;DATE ACTIVATION EEL;Latitude;Longitude;EEL;CLINICAL;NOMBRE MOYEN DE DOSSIERS EEL/J    SEMAINE-1;PMD;NOMBRE DE DOSSIERS EEL EN 2024;NOMBRE DE DOSSIERS EEL S-5;NOMBRE DE DOSSIERS EEL S-4;NOMBRE DE DOSSIERS EEL S-3;NOMBRE DE DOSSIERS EEL S-2;NOMBRE DE DOSSIERS EEL S-1;IDF
LBM TRAPPES HOPITAL PRIVE;14 rue Castiglione del Lago;14 rue Castiglione del Lago 78190  TRAPPES ;10/11/2024;48.7780042 ;1.9907054;Non;Oui;0;0;0;0;0;0;0;0;IDFO
LBM TROCADERO;30 bis AVENUE PAUL DOUMER;30 bis AVENUE PAUL DOUMER 75016  TROCADERO;10/04/2024;48.8637;2.2769;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM VAUCRESSON;2 avenue Jean Salmon Legagneur;2 avenue Jean Salmon Legagneur 92420  VAUCRESSON**;01/09/2024;48.8379199;2.1551547;Oui;Oui;0;0;0;0;0;0;0;0;IDFO
LBM VERNON;1 bis rue du Soleil;1 bis rue du Soleil 27200  VERNON;;49.0923528;1.4846879;Non;Non;0;0;0;0;0;0;0;0;IDFO
LBM VERRIERES;3 rue Joseph Groussin;3 rue Joseph Groussin 91370  VERRIERES;17/07/2024;48.7463958;2.2653695;Oui;Oui;2;61;10;0;1;4;0;3;IDFS
LBM VERSAILLES CHANTIERS;27 bis rue de Noailles;27 bis rue de Noailles 78000  VERSAILLES CHANTIERS;21/10/2024;48.7978826;2.1344542;Non;Oui;0;0;0;0;0;0;0;0;IDFO
LBM VERSAILLES RIVE DROITE;46 rue du MarÂ–chal Foch;46 rue du Maréchal Foch 78000  VERSAILLES ;21/10/2024;48.8101937;2.1343872;Non;Oui;0;0;0;0;0;0;0;0;IDFO
LBM VICTOR HUGO;187 AVENUE VICTOR HUGO;187 AVENUE VICTOR HUGO 75116  VICTOR HUGO;;48.8591776;2.4770678;Oui;Oui;1;73;144;5;10;5;5;2;IDFE
LBM VIGNEUX;51-53 avenue Henri Barbusse;51-53 avenue Henri Barbusse 91270  VIGNEUX;08/10/2024;48.704319;2.4351295;Oui;Oui;1;92;7;0;0;0;3;4;IDFS
LBM VILLEMOMBLE;8 grande rue;8 grande rue 93250  VILLEMOMBLE;17/07/2024;48.884298;2.508606;Oui;Oui;1;58;34;1;5;4;6;2;IDFE
LBM VILLENEUVE - CLINIQUE;45 RUE DE CROSNE;45 RUE DE CROSNE 94190  VILLENEUVE - CLINIQUE;20/09/2024;48.7244153;2.4471903;Oui;Oui;1;49;5;0;1;1;1;2;IDFS
LBM VILLENEUVE - GARE;2ter rue de Verdun;2ter rue de Verdun 94190  VILLENEUVE SAINT GEORGES;17/07/2024;48.7305132;2.4470616;Oui;Oui;0;0;7;1;0;1;1;0;IDFS
LBM VILLEPARISIS GARE;184 av. du GÂ–nÂ–ral De Gaulle;184 av. du Général De Gaulle 77270  VILLEPARISIS GARE;22/10/2024;48.9420396;2.6146046;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM VILLEPARISIS JAURES;8 Rue Jean JaurÂ—s  ;8 Rue Jean Jaurès  77270  VILLEPARISIS JAURES;22/10/2024;48.939469;2.6154009;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM VILLEPINTE;182 Boulevard Robert Ballanger;182 Boulevard Robert Ballanger 93420  VILLEPINTE;;48.9576572;2.5453861;Oui;Oui;0;0;0;0;0;0;0;0;IDFE
LBM VILLEPREUX;9 bis rue Henri Dunant;9 bis rue Henri Dunant 78450  VILLEPREUX;21/10/2024;48.82815;1.9976;Oui;Oui;0;0;0;0;0;0;0;0;IDFO
LBM VILLETANEUSE;CC BIENVENUE 8 route St LEU;CC BIENVENUE 8 route St LEU 93430  VILLETANEUSE;;48.9583;2.3417;Non;Non;0;0;0;0;0;0;0;0;IDFE
LBM VIRY - PORT AVIATION;93 boulevard Gabriel Peri;93 boulevard Gabriel Peri 91170  VIRY - PORT AVIATION;25/03/2023;48.6776678;2.3720129;Oui;Oui;2;87;265;5;10;8;5;6;IDFS
LBM VIRY CHATILLON - PLATEAU;57 av.du Commandant Barre;57 av.du Commandant Barre 91170  VIRY CHATILLON - PLATEAU;26/07/2024;48.6609786;2.3655589;Oui;Oui;1;34;4;0;1;0;0;1;IDFS
LBM VOLONTAIRES;209 rue de Vaugirard;209 rue de Vaugirard 75015  VOLONTAIRES;;48.8415334;2.3080102;Non;Non;0;0;0;0;0;0;0;0;IDFE
LBM VOLTAIRE;105 BOULEVARD VOLTAIRE;105 BOULEVARD VOLTAIRE 75011  VOLTAIRE;;48.9127908;2.2960463;Oui;Oui;2;51;226;3;13;12;4;9;IDFE
LBM VOUILLE;20 Rue Vouille;20 Rue Vouille 75015  ;;48.83476;2.304421;Oui;Oui;7;54;1535;28;68;44;64;41;IDFE
