NOM;RUE;ADRESSE;DATE ACTIVATION EEL;Latitude;Longitude;EEL;CLINICAL;NOMBRE MOYEN DE DOSSIERS EEL/J    SEMAINE-1;PMD;NOMBRE DE DOSSIERS EEL EN 2024;NOMBRE DE DOSSIERS EEL S-5;NOMBRE DE DOSSIERS EEL S-4;NOMBRE DE DOSSIERS EEL S-3;NOMBRE DE DOSSIERS EEL S-2;NOMBRE DE DOSSIERS EEL S-1;IDF
LBM LIMEIL BREVANNES;"
6 place Arthur Rimbaud 94450 Limeil-Brévannes";"
6 place Arthur Rimbaud 94450 Limeil-Brévannes";22/07/2024;48.7520977;2.4734404811057944;Oui;Oui;0;0;1;0;0;0;0;0;IDFS
LBM LIMOURS;22 route de Chartres;22 route de Chartres 91470  LIMOURS;18/04/2023;48.64625;2.07688;Oui;Oui;2;37;88;0;8;7;7;3;IDFS
LBM LONGPONT;6 voie mort ru;6 voie mort ru 91310  LONGPONT;05/08/2024;48.64171;2.29278;Oui;Oui;1;38;32;3;5;6;2;1;IDFS
LBM LOURMEL;73 RUE DE LOURMEL;73 RUE DE LOURMEL 75015 ;23/07/2024;48.8457382;2.2881553;Oui;Oui;0;0;0;0;0;0;0;0;IDFE
LBM MALESHERBES;116 Boulevard Malesherbes;116 Boulevard Malesherbes 75017  MALESHERBES;;48.8835;2.3219;Oui;Oui;5;65;758;20;33;34;27;31;IDFE
LBM MANTES ALSACE;51 rue d'Alsace;51 rue d'Alsace 78203  ;;48.9923319;1.7106296;Oui;Oui;1;42;57;2;3;2;5;1;IDFO
LBM MANTES ROOSEVELT;10-12 Av du pdt Roosevelt;10-12 Av du pdt Roosevelt 78200  ;;48.990257;1.709879;Oui;Oui;1;114;27;0;0;1;0;2;IDFO
LBM MANTES VAL FOURRE;4 rue Pierre Ronsard;4 rue Pierre Ronsard 78200  MANTES VAL FOURRE;05/08/2024;49.0000613;1.6843445;Oui;Oui;0;0;2;0;0;0;0;0;IDFO
LBM MARLY LE ROI;14 rue de Titreville;14 rue de Titreville 78160  MARLY LE ROI;21/10/2024;48.8667;2.0833;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM MAROLLES;7 Grande Rue;7 Grande Rue 91630  MAROLLES;23/10/2024;48.56232;2.29885;Non;Oui;0;0;0;0;0;0;0;0;IDFS
LBM MASSY - ALBERT THOMAS;28 ALLEE ALBERT THOMAS;28 ALLEE ALBERT THOMAS 91300  MASSY ;16/09/2024;48.7363005;2.261395;Oui;Oui;2;44;20;1;6;2;5;6;IDFS
LBM MASSY - MOLIERE;8 rue MoliÂ—re;8 rue Molière 91300  MASSY - MOLIERE;11/04/2023;48.794833;2.147361;Oui;Oui;3;40;220;5;6;15;3;6;IDFS
LBM MAULE;Place H.DunantCh. St Vincent ;Place H.DunantCh. St Vincent  78580  MAULE;24/09/2024;48.91056;1.85264;Oui;Oui;1;28;3;0;1;1;0;1;IDFO
LBM MITRY MORY;11 av. Jean Baptiste ClÂ–ment;11 av. Jean Baptiste ClÂ–ment 77290  MITRY MORY;22/04/2024;48.9833;2.6167;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM MONTLHERY;16 rue de la Chapelle;16 rue de la Chapelle 91310  MONTLHERY;04/04/2023;48.6395337;2.2719382;Oui;Oui;2;60;317;5;23;13;15;10;IDFS
LBM MONTPARNASSE;45 Avenue du Maine;45 Avenue du Maine 75014  MONTPARNASSE;;48.8406763;2.3219272;Oui;Oui;2;50;250;5;20;8;15;6;IDFE
LBM MONTREUIL;12 AVENUE DE LA RESISTANCE;12 AVENUE DE LA RESISTANCE 93100  MONTREUIL;01/04/2023;48.859092;2.436947;Oui;Oui;2;64;293;7;9;15;14;11;IDFE
LBM MORIGNY;rue du Four Â˜ Chaux;rue du Four Â˜ Chaux 91150  MORIGNY;25/10/2024;48.44685;2.18351;Non;Oui;0;0;0;0;0;0;0;0;IDFS
LBM MOUROUX;10 bis Avenue de Paris ;10 bis Avenue de Paris  77120  MOUROUX;05/08/2024;48.82263;3.03879;Oui;Oui;0;0;10;0;1;3;2;0;IDFE
LBM NAVIER;24 rue Navier;24 rue Navier 75017  NAVIER;26/07/2024;48.89581;2.3227075;Oui;Oui;0;0;0;0;0;0;0;0;IDFS
LBM NOISY Le ROI;Centre commercial lebourblanc;Centre commercial lebourblanc 78590  NOISY Le ROI;NC;48.8445;2.0634;Non;Oui;0;0;0;0;0;0;0;0;IDFO
LBM ORSAY;25 rue de Paris;25 rue de Paris 91400 ORSAY;30/03/2023;48.6984368;2.2055144;Oui;Oui;1;65;57;2;10;5;2;6;IDFS
LBM OZOIR LA FERRIERE;38 Avenue du GÂ–nÂ–ral Leclerc  ;38 Avenue du GÂ–nÂ–ral Leclerc   77330  OZOIR LA FERRIERE;26/07/2024;48.767;2.6687;Oui;Oui;1;58;36;3;5;3;6;5;IDFE
LBM PARAY-VIEILLE-POSTE;100 avenue de Verdun;100 avenue de Verdun 91550  PARAY-VIEILLE-POSTE;15/09/2023;48.7057524;2.3626171;Oui;Oui;1;32;40;5;5;0;1;1;IDFS
LBM PIERREFITTE SUR SEINE;9 Rue de Paris;9 Rue de Paris 93380  PIERREFITTE SUR SEINE;17/07/2024;48.9670494;2.3616167;Oui;Oui;1;22;37;4;11;2;3;3;IDFE
LBM PLACE DES FETES;9 PLACE DES FETES;9 PLACE DES FETES 75019  PLACE DES FETES;;48.8772856;2.3935855;Oui;Oui;3;83;413;6;26;22;18;13;IDFE
LBM PLAISIR;Centre Commercial Plaisir;Centre Commercial Plaisir 78370  PLAISIR;01/06/2023;48.8299012;1.9594848;Oui;Oui;1;28;92;0;8;4;2;1;IDFO
